movie_id,original_id,name,date,tagline,description,minute,theatrical_release_age_rating,rating
2554,1006142,Sleeper,1973,Woody Allen takes a nostalgic look at the future.,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.",87,PG,3.55
2555,1006144,Death Wish,2018,How Far Would You Go To Protect Your Family?,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,107,R,2.57
2556,1006145,Pickup on South Street,1953,How the law took a chance on a B-girl … and won!,A pickpocket unwittingly lifts a message destined for enemy agents and becomes a target for a Communist spy ring.,80,,3.93
2557,1006147,Play Misty for Me,1971,The scream you hear may be your own!,"A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",102,R,3.38
2558,1006149,You Can't Take It with You,1938,You'll love them all for giving you the swellest time you've ever had!,"Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby, but his wealthy banker father and snobbish mother strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things don't turn out the way Alice had hoped.",126,NR,3.81
2559,1006154,Charlie Bartlett,2007,Popularity is a state of mind.,"Awkward teenager Charlie Bartlett has trouble fitting in at a new high school. Charlie needs some friends fast, and decides that the best way to find them is to appoint himself the resident psychiatrist. He becomes one of the most popular guys in school by doling out advice and, occasionally, medication, to the student body.",97,R,3.33
2560,1006155,Rollerball,1975,"In the not-too-distant future, wars will no longer exist. But there WILL be...The Game","In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",125,R,3.27
2561,1006159,Disturbing Behavior,1998,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.,"Steve Clark is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel.",84,R,2.8
2562,1006166,Thunderbolt and Lightfoot,1974,Thunderbolt… the man with the reputation. Lightfoot… the kid who's about to make one!,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organise a daring new heist.",115,R,3.63
2563,1006168,Mortdecai,2015,Sophistication Has a Name.,"An art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",107,R,2.11
2564,1006171,Scarlet Street,1945,The things she does to men can end only one way - in murder!,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",103,,3.93
2565,1006172,Respect,2021,The queen arrives.,The rise of Aretha Franklin’s career from a child singing in her father’s church’s choir to her international superstardom.,145,PG-13,3.1
2566,1006174,The Wiz,1978,From the book that's an American tradition… from the smash-hit Broadway show… the entertainment of the year!,"Dorothy Gale, a shy kindergarten teacher, is swept away to the magic land of Oz where she embarks on a quest to return home.",134,G,3.25
