movie_id,original_id,actor_name
7145,1033611,Jim McMullan
7145,1033611,William Wellman Jr.
7145,1033611,Aron Kincaid
7145,1033611,Norman Grabowski
7145,1033611,George Boyce
7147,1033621,Shirley Temple
7147,1033621,Spring Byington
7147,1033621,Nigel Bruce
7147,1033621,Gale Sondergaard
7147,1033621,Eddie Collins
7147,1033621,Jessie Ralph
7147,1033621,Laura Hope Crews
7147,1033621,Russell Hicks
7147,1033621,Al Shean
7147,1033621,Leona Roberts
7147,1033621,Gene Reynolds
7147,1033621,Stanley Andrews
7147,1033621,Frank Dawson
7147,1033621,Sterling Holloway
7147,1033621,Thurston Hall
7147,1033621,Edwin Maxwell
7147,1033621,Herbert Evans
7147,1033621,Brandon Hurst
7147,1033621,Keith Hitchcock
7147,1033621,Scotty Beckett
7147,1033621,Juanita Quigley
7147,1033621,Payne B. Johnson
7147,1033621,Ann E. Todd
7147,1033621,Dickie Moore
7147,1033621,Eddy Waller
7147,1033621,James Blaine
7147,1033621,Alec Craig
7147,1033621,Claire Du Brey
7147,1033621,Edward Earle
7147,1033621,Harold Goodwin
7147,1033621,Otto Hoffman
7147,1033621,Paul Kruger
7147,1033621,Buster Phelps
7147,1033621,Dick Rich
7147,1033621,Dewey Robinson
7147,1033621,Eric Wilton
7148,1033626,Joan Fontaine
7148,1033626,Patric Knowles
7148,1033626,Herbert Marshall
7148,1033626,Richard Ney
7148,1033626,Cedric Hardwicke
7148,1033626,Lucile Watson
7148,1033626,Sara Allgood
7148,1033626,Henry Stephenson
7148,1033626,Rosalind Ivan
7148,1033626,Molly Lamont
7148,1033626,Una O'Connor
7148,1033626,Isobel Elsom
7148,1033626,Alan Napier
7148,1033626,Lois Austin
7148,1033626,Matthew Boulton
7148,1033626,Ralph Brooks
7148,1033626,Colin Campbell
7148,1033626,Paul Cavanagh
7148,1033626,David Cavendish
7148,1033626,Claire Du Brey
7148,1033626,Ella Ethridge
7148,1033626,Herbert Evans
7148,1033626,Jean Fenwick
7148,1033626,Bess Flowers
7148,1033626,Mary Forbes
7148,1033626,Art Foster
7148,1033626,Gerald Hamer
7148,1033626,Lumsden Hare
7148,1033626,Holmes Herbert
7148,1033626,Boyd Irwin
7148,1033626,Kenner G. Kemp
7148,1033626,Carl M. Leviness
7148,1033626,James Logan
7148,1033626,Clive Morgan
7148,1033626,Alberto Morin
7148,1033626,Gavin Muir
7148,1033626,William H. O'Brien
7148,1033626,William J. O'Brien
7148,1033626,Manuel París
7148,1033626,Jack Perrin
7148,1033626,Wallace Scott
7148,1033626,C. Montague Shaw
7148,1033626,Wyndham Standing
7148,1033626,Brick Sullivan
7148,1033626,David Thursby
7148,1033626,Norma Varden
7148,1033626,William Wagner
7148,1033626,Eric Wilton
7148,1033626,Judith Woodbury
7149,1033633,Michael Bell
7149,1033633,Earl Boen
7149,1033633,Pat Fraley
7149,1033633,Ron Gans
7149,1033633,Alan Oppenheimer
7149,1033633,Patrick Pinney
7149,1033633,Neil Ross
7149,1033633,Susan Silo
7149,1033633,Kath Soucie
7149,1033633,John Stephenson
7149,1033633,Frank Welker
7149,1033633,Stan Lee
7150,1033642,Dave Chappelle
7150,1033642,George W. Bush
7150,1033642,Bill Clinton
7150,1033642,Ben Affleck
7150,1033642,Fidel Castro
7150,1033642,Hillary Clinton
7150,1033642,Glenn Close
7150,1033642,Robert De Niro
7150,1033642,Will Ferrell
7151,1033653,Hayley Mills
7151,1033653,Eli Wallach
7151,1033653,Irene Papas
7151,1033653,John Le Mesurier
7152,1033655,Chester Morris
7152,1033655,Marla English
7152,1033655,Tom Conway
7152,1033655,Lance Fuller
7152,1033655,Ron Randell
7152,1033655,Frieda Inescort
7152,1033655,Frank Jenks
7152,1033655,Paul Dubov
7152,1033655,William Hudson
7152,1033655,Kenneth MacDonald
7152,1033655,Jack Mulhall
7152,1033655,Edward Earle
7152,1033655,Bess Flowers
7153,1033660,Michael Strahan
7154,1033661,Frank Pellegrino
7154,1033661,Michael Copeman
7155,1033662,James MacDonald
7155,1033662,Pinto Colvig
7156,1033687,Shirley MacLaine
7156,1033687,Perry King
7156,1033687,Michael Hordern
7156,1033687,Miriam Colon
7156,1033687,Pat Ast
7158,1033744,Michael Sheen
7158,1033744,Demetri Goritsas
7158,1033744,Adam Godley
7158,1033744,Helen McCrory
7158,1033744,Dennis Quaid
7158,1033744,John Schwab
7158,1033744,Hope Davis
7158,1033744,Kerry Shale
7158,1033744,Stewart Alexander
7158,1033744,Chris Wilson
7159,1033746,Frank Welker
7159,1033746,Amy Hill
7159,1033746,Ed O'Ross
7159,1033746,Carlos Alazraqui
7159,1033746,Jeff Bennett
7159,1033746,Fred Tatasciore
7159,1033746,Jamie Kennedy
7159,1033746,Tim Curry
7159,1033746,Cree Summer
7159,1033746,Jerry Lewis
7159,1033746,Clint Howard
7159,1033746,Phil LaMarr
7159,1033746,Cam Clarke
7159,1033746,John Kassir
7160,1033749,Eddie Holden
7160,1033749,Marcellite Garner
7160,1033749,Martha Wentworth
7161,1033760,John Travolta
7161,1033760,Olivia Newton-John
7161,1033760,Charles Durning
7161,1033760,Oliver Reed
7161,1033760,Beatrice Straight
7161,1033760,Scatman Crothers
7161,1033760,Richard Bright
7161,1033760,Toni Kalem
7161,1033760,Ernie Hudson
7161,1033760,Jack Kehoe
7161,1033760,Robert Costanzo
7161,1033760,Castulo Guerra
7161,1033760,John Hudkins
7161,1033760,Tony Munafo
7161,1033760,Kathy Bates
7161,1033760,Ted Grossman
7161,1033760,Michael Prince
7161,1033760,Charlie Picerni
7161,1033760,Walter Robles
7161,1033760,Gene Hackman
7162,1033767,Tom Selleck
7162,1033767,William Daniels
7162,1033767,James Farentino
7162,1033767,Patrick Wayne
7162,1033767,Tess Harper
7162,1033767,Ronald Guttman
7162,1033767,Victor Argo
7162,1033767,Hurd Hatfield
7162,1033767,Bill Smitrovich
7162,1033767,Bobo Lewis
7162,1033767,Joan Copeland
7163,1033777,Deborah Kerr
7163,1033777,Hayley Mills
7163,1033777,John Mills
7163,1033777,Felix Aylmer
7165,1033789,Hiam Abbass
7165,1033789,Willem Dafoe
7165,1033789,Vanessa Redgrave
7165,1033789,Uri Gavriel
7165,1033789,Alexander Siddig
7166,1033790,Clark Gable
7166,1033790,Spencer Tracy
7166,1033790,Claudette Colbert
7166,1033790,Hedy Lamarr
7166,1033790,Frank Morgan
7166,1033790,Lionel Atwill
7166,1033790,Chill Wills
7166,1033790,Marion Martin
7166,1033790,Minna Gombell
7166,1033790,Joe Yule
7166,1033790,Horace Murphy
7166,1033790,Marietta Canty
7166,1033790,Curt Bois
7166,1033790,Richard Lane
7166,1033790,George Lessey
7166,1033790,Sara Haden
7166,1033790,Frank Orth
7166,1033790,Charles Coleman
7166,1033790,Nell Craig
7166,1033790,Byron Foulger
7166,1033790,Harry Hayden
7166,1033790,Eddy Waller
7166,1033790,Roy Gordon
7166,1033790,Frank McGlynn Sr.
7166,1033790,Bess Flowers
7166,1033790,Barbara Bedford
7166,1033790,Hank Bell
7166,1033790,Charles D. Brown
7166,1033790,Francis X. Bushman Jr.
7166,1033790,James Conaty
7166,1033790,Dick Curtis
7166,1033790,Helen Dickson
7166,1033790,James Dime
7166,1033790,Eddie Dunn
7166,1033790,Franklyn Farnum
7166,1033790,Pat Flaherty
7166,1033790,Sam Garrett
7166,1033790,George Guhl
7166,1033790,Frank Hagney
7166,1033790,William Halligan
7166,1033790,John Hamilton
7166,1033790,Tom Hanlon
7166,1033790,Holmes Herbert
7166,1033790,Howard Hickman
7166,1033790,Earle Hodgins
7166,1033790,Shep Houghton
7166,1033790,Jack Ingram
7166,1033790,Sheldon Jett
7166,1033790,Robert Emmett Keane
7166,1033790,Mitchell Lewis
7166,1033790,Tom London
7166,1033790,Frank McLure
7166,1033790,Philip Morris
7166,1033790,John T. Murray
7166,1033790,Wedgwood Nowell
7166,1033790,Ted Oliver
7166,1033790,Nestor Paiva
7166,1033790,Milton Parsons
7166,1033790,Lee Phelps
7166,1033790,Henry Roquemore
7166,1033790,Larry Steers
7166,1033790,Bert Stevens
7166,1033790,William Tannen
7166,1033790,Harry Wilson
7166,1033790,Tom Wilson
7166,1033790,Douglas Wood
7167,1033798,Yul Brynner
7167,1033798,Max von Sydow
7167,1033798,William Smith
7167,1033798,Stephen McHattie
7167,1033798,Darrell Zwerling
7167,1033798,Regis Parton
