actor_name,avg_rating,count,is_star
Allan Havey,3.283333333333333,3,True
Allan Jones,3.468571428571429,7,True
Allan Lane,3.3480000000000003,10,True
Allan Rich,3.233846153846154,13,False
Allan Warnick,3.40375,8,True
Allan Wasserman,3.2700000000000005,5,True
Allen Covert,2.841666666666667,12,False
Allen D. Sewall,3.5166666666666666,21,True
Allen Garfield,3.2674074074074073,27,True
Allen Jaffe,3.3333333333333335,9,True
Allen Jenkins,3.3586,50,True
Allen Maldonado,2.8,1,False
Allen Mathews,3.3912500000000003,8,True
Allen Payne,2.9949999999999997,6,False
Allen Pinson,3.5885714285714285,7,True
Allen Pomeroy,3.27,6,True
Allen Wood,3.2981818181818183,11,True
Allison Janney,3.1530769230769233,13,False
Ally Sheedy,3.1475000000000004,12,False
Allyn Ann McLerie,3.353,10,True
Allyn Joslyn,3.3994736842105264,19,True
Alma Beltran,3.2619999999999996,10,False
Alma Kruger,3.409090909090909,11,True
Almeda Fowler,3.66125,8,True
Almira Sessions,3.4965384615384614,26,True
Alonzo Price,3.3557142857142854,7,True
Alphonse Ethier,3.26875,8,True
Alphonse Martell,3.372380952380952,42,True
Alphonso DuBois,3.629,10,True
Alun Armstrong,3.2133333333333334,12,False
Alvin Hammer,3.280588235294118,17,True
Alvin Ing,3.22,5,False
Alvy Moore,3.1475,16,False
Alyson Hannigan,2.855,4,False
Alyssa Milano,2.685,4,False
Amanda Blake,3.4783333333333335,6,True
Amanda Foreman,2.778,5,False
Amanda Peet,3.02,8,False
Amanda Plummer,3.302857142857143,7,True
Amanda Walker,3.4924999999999997,4,True
Amanda Wyss,3.5119999999999996,5,True
Amaury Nolasco,3.6,1,False
Amber Smith,3.1542857142857144,7,False
Amber Valletta,3.02,3,False
Amelia Campbell,3.1783333333333332,6,False
Amelita Ward,3.373333333333333,6,True
Amy Aquino,3.35,4,True
Amy Brenneman,3.1950000000000003,6,False
Amy Hill,3.04625,8,False
Amy Irving,3.312142857142857,14,True
Amy Madigan,3.48,3,True
Amy Parrish,2.9066666666666663,3,False
Amy Poehler,2.925,2,False
Amy Sedaris,2.71,1,False
Amy Smart,3.2424999999999997,4,False
Amy Steel,3.0185714285714282,7,False
Amy Stiller,3.263333333333333,3,False
Amy Wright,3.3075,8,True
Amy Yasbeck,3.0166666666666666,9,False
Amzie Strickland,3.3764285714285713,42,True
Ana Gasteyer,2.766,5,False
Anderson Lawler,3.312222222222222,9,True
Andie MacDowell,3.02,14,False
Andray Johnson,3.5999999999999996,2,False
Andre B. Blake,3.235,4,False
Andre Braugher,3.37,7,True
Andre Gregory,3.003,10,False
Andre Philippe,3.32,7,True
Andrea Baker,2.99,4,False
Andrea Esterhazy,3.4599999999999995,6,True
Andrea King,3.367692307692308,13,True
Andrea Martin,3.0977777777777775,18,False
Andrea Romano,3.75,1,False
Andreas Katsulas,3.207777777777778,9,False
Andrew Airlie,2.84,3,False
Andrew Bryniarski,2.8866666666666667,9,False
Andrew Divoff,3.002,5,False
Andrew Duggan,3.2726666666666664,15,True
Andrew Duncan,3.468571428571429,7,True
Andrew Francis,3.43,1,False
Andrew Havill,3.185,2,False
Andrew Hill Newman,2.956666666666667,6,False
Andrew Keir,3.2625,8,False
Andrew McCarthy,3.1077777777777778,9,False
Andrew Moodie,3.3049999999999997,2,False
Andrew Prine,3.146,5,False
Andrew Robinson,3.3049999999999997,8,True
Andrew Scott,3.935,2,False
Andrew Shaifer,2.646,5,False
Andrew Stanton,3.3,2,False
Andrew Stevens,3.32625,8,True
Andrew Tiernan,3.3333333333333335,3,True
Andrew Tombes,3.3536,25,True
Andrew Wilson,3.4283333333333332,6,True
André Charlot,3.25125,8,False
André Cheron,3.3007692307692307,13,True
André Maranne,3.0785714285714287,7,False
André Penvern,3.1199999999999997,6,False
Andy Arness,3.0549999999999997,4,False
Andy Beckwith,4.02,1,False
Andy Clyde,3.2800000000000002,7,True
Andy Devine,3.371111111111111,27,True
Andy Dick,2.82,9,False
Andy García,3.2615384615384615,13,False
Andy Milder,3.022,5,False
Andy Richter,2.8166666666666664,6,False
Andy Romano,3.071578947368421,19,False
Andy Serkis,3.855,4,True
Andy Stahl,3.1036363636363635,11,False
Angela Alvarado,2.858333333333333,6,False
Angela Bassett,3.1573333333333333,15,False
Angela Clarke,3.3586666666666667,15,True
Angela Curran,3.4466666666666668,3,True
Angela Featherstone,3.4233333333333333,6,True
Angela Greene,3.29,7,True
Angela Lansbury,3.421,30,True
Angela Paton,3.18,10,False
Angela Pietropinto,3.0483333333333333,6,False
Angelina Jolie,3.0055555555555555,9,False
Angelina Torres,2.8425000000000002,4,False
Angelo Rossitto,3.2723809523809524,21,True
Angelo Tiffe,2.87,5,False
Angie Dickinson,3.3600000000000003,17,True
Angus Barnett,3.3200000000000003,2,False
Angus MacInnes,3.4763636363636365,11,True
Angus Macfadyen,2.84,2,False
Angus Wright,3.0439999999999996,5,False
Anita Brown,3.1466666666666665,3,False
Anita Ekberg,3.1644444444444444,9,False
Anita Garvin,3.3983333333333334,6,True
Anita Louise,3.238571428571429,14,False
Anita Morris,3.042857142857143,7,False
Anita Page,3.08875,8,False
Anita Sharp-Bolster,3.4957142857142856,14,True
Anjelica Huston,3.4033333333333333,18,True
Ann Blyth,3.4957142857142856,7,True
